Accession,3-hydroxypropyl,3-methylsulfinylpropyl,Unknown Alkenyl,(S)2-hydroxy-but-3-enyl,(R)2-hydroxy-but-3-enyl,4-methylsulfinylbutyl,Allyl,5-methylsulfinylpentyl,But-3-enyl,3-methylthiopropyl,7-methylsulfinylheptyl,Pent-4-enyl ,4-methylthiobutyl ,8-methylsulfinyloctyl ,Indol-3-ylmethyl ,4-methoxy-indol-3-ylmethyl ,N-methoxy-indol-3-ylmethyl ,7-methylthioheptyl ,8-methylthiooctyl ,Total C3 Aliphatic ,Total C4 Aliphatic,Total C5 Aliphatic,Total C7 Aliphatic,Total C8 Aliphatic,Total C3 and C4 Aliphatic,Total C7 and C8 Aliphatic ,Total Alkenyl Aliphatic,Total Methylsulfinyl Aliphatic,Total Hydroxyalkyl Aliphatic,Total Hydroxyalkenyl Aliphatic ,Ratio of C3 to SC Aliphatic,Ratio of C7 to LC Aliphatic,Ratio of C3 methylthio to total C3,Ratio of C4 methylthio to total C4,Ratio of C7 methylthio to total C7,Ratio of C8 methylthio to total C8,Total Indolic Glucosinolate,Total Indolic Glucosinolate with 4 hydroxylation,Ratio of TOH4 to TIND,Ratio of NMOI3M to TIND,4-hydroxybutyl (2007),5-methylthiopentyl (2007),4-hydroxy-indol-3-ylmethyl (2008)
Nok-3,0,0,0,0,0,0,4.235978723,0,0,0,0,0,0,0.530465362,0.647259296,0.146489904,0,0,0.410041075,4.235978723,0,0.008150349,0,0.940506437,4.235978723,0.940506437,4.235978723,0.530465362,0,0,1,0,0,0,0,0.438806755,0.7937492,0.146489904,0.185520151,0.100254838,0,0.016300697,0
Omo2-1,0,0.040868649,0,0,0,0,17.91702079,0,0.130759299,0,0.074289247,0,0,0.81779746,1.249987964,0.144090139,0.023794097,0.025407803,0.455946955,17.95788944,0.130759299,0.018288559,0.099697051,1.273744415,18.08864874,1.373441465,18.04778009,0.932955355,0,0,0.993040533,0.073233948,0,0,0.318709268,0.341164624,1.421673939,0.147891878,0.104052365,0.164247815,0,0.036577117,0.007603478
Omo2-3,0,0.018802431,0,0,0,0,6.680761771,0,0,0.053034174,0,0,0,0.73080349,0.869480065,0.163105327,0.005456131,0.009893105,0.31168791,6.752598376,0,0.01323681,0.009893105,1.0424914,6.752598376,1.052384505,6.680761771,0.749605921,0,0,1,0.009337677,0.007971706,0,1,0.301321333,1.038041523,0.163105327,0.153013027,0.122532481,0,0.02647362,0
Oy-0,0,3.977419698,0,0,0,0,0,0,0,0.14928175,0,0,0,0.763992707,0.928457199,0.245793589,0.003126632,0.012826972,0.420849111,4.126701448,0,0.017680564,0.012826972,1.184841819,4.126701448,1.197668791,0,4.741412405,0,0,1,0.010856529,0.038825134,0,0.5,0.355394095,1.17737742,0.245793589,0.209860353,0.113195447,0,0.035361128,0
Pna-10,0,0,0,0,0,0,7.501304354,0,0,0.026871469,0,0,0,0.867112107,0.557627107,0.168876564,0,0.006539862,0.490289282,7.528175824,0,0,0.006539862,1.357401389,7.528175824,1.36394125,7.501304354,0.867112107,0,0,1,0.005764831,0.003084445,0,0.5,0.360501189,0.726503671,0.168876564,0.228920793,0.148270571,0,0,0
Pna-17,0,0,0,0,0,0,7.250224209,0,0,0,0.02561833,0,0,1.195347988,0.763837096,0.178685033,0.009850704,0,0.355253632,7.250224209,0,0,0.02561833,1.550601619,7.250224209,1.576219949,7.250224209,1.220966318,0,0,1,0.00980462,0,0,0,0.300276535,0.952372833,0.178685033,0.190653943,0.155677753,0,0,0
Pro-0,0,0,0,0.507631026,1.712524048,0,2.154289985,0,10.46752885,0,0.094540931,1.223353875,0,0.972149385,0.806594505,0.256494083,0.010106722,0.054283636,0.206624686,2.154289985,12.68768393,0,0.148824567,1.178774072,14.84197391,1.327598639,14.84197391,1.066690317,0,2.220155074,0.144527441,0.113512512,0,0,0.344737959,0.17554358,1.07319531,0.256494083,0.232421498,0.101148063,0,0,0
Pu2-23,0,0,0,0,0,0,10.04802046,0,0.111636469,0.017306108,0.027907112,0,0,1.957306605,1.359638424,0.149731425,0.03332052,0.032961864,0.748724212,10.06532657,0.111636469,0,0.060868976,2.706030816,10.17696304,2.766899792,10.15965693,1.985213717,0,0,0.989650512,0.01901696,0.002769781,0,0.743828453,0.294882501,1.550304621,0.157345678,0.098982852,0.193996932,0,0,0.015228505
Pu2-7,0,0,0,0,0.001047462,0,7.276352195,0,0.017294441,0,0,0,0,0.791292819,1.120393473,0.406836455,0.016483877,0.016522637,0.609129425,7.276352195,0.018341904,0.037200162,0.016522637,1.400422245,7.294694099,1.416944882,7.294694099,0.791292819,0,0.001047462,0.998222392,0.021636134,0,0,1,0.475955593,1.543713806,0.406836455,0.260387685,0.190346744,0,0.074400324,0
Ra-0,8.365686817,0.743250969,0,0,0,0.019018381,0,0,0,0.100550903,0.040161578,0,0,1.033278582,2.112222706,0.326549419,0.029569491,0.003402548,0.364591607,9.209488688,0.019018381,0,0.043564126,1.397870189,9.22850707,1.441434315,0,1.83570951,8.365686817,0,0.997857598,0.024909443,0.011375704,0,0.039052178,0.267300613,2.47834631,0.336554113,0.131141347,0.156961173,0,0,0.020009387
Ren-1,0.003932592,0.029993195,0.067228804,1.400625879,4.938544045,0,0.02800144,0,0.754971971,0,0.06077625,0,0.493479759,1.618850964,0.750685149,0.20258342,0.01279362,0.305872252,0.606604561,0.061927227,7.587621654,0,0.366648502,2.225455526,7.649548882,2.592104028,7.189372139,1.70962041,0.003932592,6.339169924,0.008417097,0.156464583,0,0.061472473,0.759442288,0.270119453,0.966062189,0.20258342,0.22409617,0.113695114,0,0,0
Ren-11,0,0,0.058987381,1.203777387,4.116438509,0.043440263,0,0,0.735518917,0,0.008097824,0,0,0.573306813,0.811699979,0.132539687,0.00204363,0.179301221,0.331128467,0,6.099175076,0.022263548,0.187399045,0.90443528,6.099175076,1.091834325,6.114722194,0.6248449,0,5.320215896,0,0.169000614,0,0,0.832369412,0.37822625,0.946283296,0.132539687,0.140670832,0.065916818,0,0.044527095,0
Rmx-A02,0.010944387,0.011319876,0,0,0,0,9.474998957,0,0,0.020025222,0,0,0,0.986123388,0.580645163,0.292035079,0.001815904,0.006520522,0.552165408,9.517288441,0,0.020751771,0.006520522,1.538288796,9.517288441,1.544809318,9.474998957,0.997443264,0.010944387,0,1,0.00539874,0.001920346,0,0.5,0.360998175,0.883082564,0.300621497,0.337037841,0.175385371,0,0.041503542,0.017172837
Rmx-A180,0.030801825,0.047808214,0,0,0,0,12.44523167,0,0.043588663,0,0,0,0,1.39568139,1.240099118,0.200417088,0.005277505,0,0.436862531,12.52384171,0.043588663,0,0,1.832543921,12.56743037,1.832543921,12.48882033,1.443489604,0.030801825,0,0.996449223,0,0,0,0,0.237957187,1.445793711,0.200417088,0.139171571,0.07580202,0,0,0
RRS-10,0,0,0,0,0,0,6.629347235,0,0,0,0,0,0,0.702777579,0.626108393,0.141883688,0,0,0.509479113,6.629347235,0,0,0,1.212256692,6.629347235,1.212256692,6.629347235,0.702777579,0,0,1,0,0,0,0,0.416663168,0.76799208,0.141883688,0.193062827,0.135177326,0,0,0
RRS-7,0.004273569,0.05130529,0,0,0,0,5.820271939,0,0,0.024479422,0,0,0,0.572340908,0.755513266,0.120597587,0.022497668,0.019089155,0.353219791,5.900330219,0,0,0.019089155,0.925560699,5.900330219,0.944649854,5.820271939,0.623646198,0.004273569,0,1,0.020566119,0.004491497,0,0.5,0.381693221,0.898608522,0.120597587,0.136579958,0.119889734,0,0,0
Se-0,0,0.324071696,0,0,0,1.597813089,0,0,0,0.518661703,0.024373501,0,4.174595694,0.392095669,0.600241952,0.252378236,0.002641266,0.029637792,0.234016324,0.842733399,5.772408783,0,0.054011294,0.626111993,6.615142182,0.680123286,0,2.338353955,0,0,0.129866893,0.077614751,0.612050873,0.610993323,0.274366622,0.373434567,0.855261454,0.252378236,0.291176602,0.168917571,0,0,0
Sha,0,0,0,0,0,0,2.581109786,0,6.616490225,0,0.060779582,0,0,0.613905271,0.691036716,0.157095135,0.031970115,0.013049772,0.138491062,2.581109786,6.616490225,0,0.073829354,0.752396333,9.197600011,0.826225687,9.197600011,0.674684854,0,0,0.280669983,0.093684905,0,0,0.175667183,0.190924833,0.880101965,0.157095135,0.178219095,0.177521117,0,0,0
Sorbo,0,0.021796457,0,0,0,0,4.758451896,0,18.99866818,0,0.047825042,1.104098245,0,1.37643261,0.979219485,0.323456211,0,0.016721094,0.287303328,4.780248352,18.99866818,0,0.064546136,1.663735938,23.77891653,1.728282074,23.75712008,1.446054109,0,0,0.198486174,0.038066877,0,0,0.256233752,0.173884824,1.302675697,0.323456211,0.251184226,0.113859307,0,0,0
Spr1-2,0,0.106243812,0,0,0,0,5.890039891,0,0,0,0.007058179,0,0,0.864049156,0.550144965,0.221084059,0.031029943,0.008572994,0.211437402,5.996283703,0,0.021678093,0.015631173,1.075486558,5.996283703,1.091117731,5.890039891,0.977351147,0,0,1,0.019828876,0,0,0.274227462,0.204280054,0.802258968,0.221084059,0.268079148,0.303819066,0,0.043356185,0
Spr1-6,0,0,0,0,0,0,9.240517573,0,0.018397564,0,0.014413033,0,0,1.398699784,0.441793635,0.225945316,0.017516948,0.016504796,0.59021794,9.240517573,0.018397564,0,0.030917829,1.988917724,9.258915137,2.019835553,9.258915137,1.413112818,0,0,0.998725128,0.00975284,0,0,0.266913884,0.339513927,0.686899646,0.227589063,0.325339785,0.184799965,0,0,0.003287494
Sq-1,0,0,0.164680919,2.148915475,7.018707388,0,0.345523683,0.064380543,4.631015149,0,0.256958727,0.556404509,0,1.91347003,0.983796286,0.222415314,0.017349573,0.317747636,0.500745312,0.345523683,13.79863801,0.095002436,0.574706364,2.414215343,14.14416169,2.988921706,14.30884261,2.234809301,0,9.167622863,0.024535895,0.215071576,0,0,0.494832243,0.208476263,1.223561172,0.222415314,0.179812741,0.143572094,0,0.061243786,0
Sq-8,7.30504,4.583747202,0,0,0,0.043646963,0,0,0,0.243102572,0,0,0,0.809198557,0.982187713,0.225502181,0.002061443,0.062473281,0.422575895,12.13188977,0.043646963,0.019417953,0.062473281,1.231774452,12.17553674,1.294247733,0,5.436592722,7.30504,0,0.997506477,0.037350153,0.013957903,0,0.5,0.366191547,1.209751337,0.225502181,0.204148696,0.153734219,0,0.038835906,0
Tamm-2,0,0,0,0,0,0,22.16223345,0,0.231337909,0,0.009259556,0,0,1.165004222,1.070317513,0.158910068,0.020432949,0.003246418,0.293408807,22.16223345,0.231337909,0,0.012505974,1.458413028,22.39357136,1.470919002,22.39357136,1.174263778,0,0,0.991226479,0.008007938,0,0,0.5,0.222925224,1.249660529,0.158910068,0.129199793,0.110444536,0,0,0
Tamm-27,0,0.027977766,0,0,0,0,14.91608282,0,0.163084915,0,0.014816788,0,0,0.933194361,0.736773704,0.169206271,0.018265734,0.011297719,0.315702723,14.94406059,0.163084915,0,0.026114507,1.248897083,15.1071455,1.275011591,15.07916773,0.975988915,0,0,0.991110944,0.01505279,0,0,0.216311169,0.280441766,0.924245708,0.169206271,0.190533519,0.125958639,0,0,0
Ts-1,0,0,0,0,0,0.573378395,0,0,0,0.00839406,0.015211562,0,1.407668077,0.968127301,0.775018632,0.159415203,0.002696445,0.117106278,0.601003443,0.00839406,1.981046472,0,0.132317841,1.569130744,1.989440532,1.701448584,0,1.556717259,0,0,0.004039528,0.079065029,0.5,0.474231889,0.792080799,0.383165772,0.93713028,0.159415203,0.180861298,0.062171274,0,0,0
Ts-5,0,0.04537841,0,1.02231813,3.6762658,0,0.816181079,0,1.936677644,0,0.093676642,0,0.55806922,1.185257143,1.561707634,0.214352124,0.009889397,0.076798135,0.437030752,0.861559489,7.193330794,0,0.170474777,1.622287895,8.054890283,1.792762672,7.451442653,1.324312196,0,4.69858393,0.106948585,0.099726533,0,0.041647764,0.445573514,0.273829766,1.785949156,0.214352124,0.120646424,0.061668135,0,0,0
Tsu-1,13.28351404,0.86442359,0,0,0,0.032661018,0,0,0,0.084389852,0.019852336,0,0,1.646625976,1.493628156,0.256934172,0.00364308,0.023499487,0.485409421,14.23232748,0.032661018,0,0.043351823,2.132035396,14.2649885,2.175387219,0,2.56356292,13.28351404,0,0.998398885,0.015942605,0.0103787,0,0.271032286,0.232074652,1.76719314,0.269921904,0.14641375,0.088104443,0,0,0.025975463
Ull2-3,4.328537492,0.300900686,0,0,0,0,0.006018527,0,0,0.027091149,0,0,0,1.024527304,1.338896844,0.293195997,0.015397841,0.006438652,0.561155812,4.662547855,0,0.041164545,0.006438652,1.585683115,4.662547855,1.592121768,0.006018527,1.32542799,4.328537492,0,1,0.003228968,0.004416584,0,0.5,0.352100753,1.654291404,0.29999672,0.187608724,0.144862342,0,0.08232909,0.013601446
Ull2-5,0.031022372,0.021266999,0,0,0,0,4.883824007,0,0,0,0.033771099,0,0,0.580673622,0.547687934,0.179088235,0.004696193,0.009416143,0.380904766,4.936113378,0,0.02509372,0.043187242,0.961578388,4.936113378,1.00476563,4.883824007,0.63571172,0.031022372,0,1,0.038166957,0,0,0.551949579,0.396470884,0.731472362,0.179088235,0.244536697,0.134002685,0,0.050187441,0
Uod-1,6.933030082,0.383291489,0,0,0,0,0.023049071,0,0.00598724,0.018989391,0.009347347,0,0,0.662758027,0.692564692,0.153654065,0.002805462,0.007431074,0.348156158,7.358360033,0.00598724,0,0.016778421,1.010914186,7.364347273,1.027692607,0.029036311,1.055396864,6.933030082,0,0.999402424,0.011385784,0.001897567,0,0.221447364,0.379692628,0.849024219,0.153654065,0.179936543,0.068955787,0,0,0
Uod-7,0.035044452,0,0,0,0,0,8.46798453,0,0.024290755,0,0.010161669,0.008741972,0,0.908248461,1.186398715,0.117858767,0.026172265,0.019793871,0.434212799,8.503028981,0.040940428,0,0.02995554,1.34246126,8.54396941,1.3724168,8.492275284,0.91841013,0.051694125,0,0.995521786,0.02453482,0,0,0.743401527,0.313289515,1.330429747,0.117858767,0.088536682,0.132348184,0.033299347,0,0
Van-0,0.032234518,0,0,0,0,0,7.706098064,0.037052993,0.080127571,0.029683534,0.020792465,0,0,0.7778459,0.697285894,0.230884212,0.002609281,0.16392451,0.571431706,7.768016115,0.080127571,0.037052993,0.184716975,1.349277606,7.848143687,1.533994581,7.786225635,0.835691358,0.032234518,0,0.989243402,0.126129633,0.004293287,0,0.941121962,0.420171919,0.930779387,0.230884212,0.244326299,0.128874147,0,0,0
Var2-1,0.049258779,0,0,0,0,0,8.948037306,0,0.02542134,0,0.012000931,0,0,0.880255786,0.839155109,0.120725082,0.00229835,0.030509089,0.570614457,8.997296085,0.02542134,0,0.042510019,1.450870243,9.022717425,1.493380262,8.973458646,0.892256717,0.049258779,0,0.997761758,0.024577197,0,0,0.83568149,0.417830405,0.962178541,0.120725082,0.127537646,0.058670683,0,0,0
Var2-6,0.087528964,0,0,0,0,0,11.77950863,0.012410288,0.106424835,0,0.044576321,0,0,1.229654591,0.536551286,0.165116749,0.006040564,0.048422492,0.606875765,11.86703759,0.106424835,0.012410288,0.092998813,1.836530356,11.97346242,1.929529168,11.88593346,1.2866412,0.087528964,0,0.993920692,0.039708006,0,0,0.741085106,0.351159157,0.707708599,0.165116749,0.226104957,0.122408233,0,0,0
Wa-1,0.003435174,3.142426386,0,0,0,0,0.019687553,0,0,0.19539372,0.02655885,0,0,1.80258418,1.216627525,0.319135609,0.037529217,0.006438498,0.61567765,3.360942833,0,0,0.032997349,2.41826183,3.360942833,2.451259179,0.019687553,4.971569417,0.003435174,0,1,0.007164486,0.031458982,0,0.09756084,0.465784141,1.573292351,0.319135609,0.241108403,0.244554714,0,0,0
Wei-0,25.31417849,0.422966251,0,0,0,0,0,0,0,0,0,0,0,2.095682133,1.333504163,0.274071206,0.0040523,0.011873569,0.416350401,25.73714474,0,0,0.011873569,2.512032534,25.73714474,2.523906103,0,2.518648383,25.31417849,0,1,0.004704442,0,0,1,0.16574244,1.611627669,0.274071206,0.170058638,0.170058638,NA,NA,0
Ws-0,0.051567982,0,0,0,0,0,11.23999015,0.045051018,0.042113193,0,0,0,0,1.202272644,0.615783399,0.097038253,0.009183886,0.112602658,0.621050706,11.29155813,0.042113193,0.045051018,0.112602658,1.82332335,11.33367132,1.935926008,11.28210334,1.247323663,0.051567982,0,0.996957713,0.063361416,0,0,0.5,0.341947061,0.722005538,0.097038253,0.131395931,0.14514427,0,0,0
Ws-2,0.004324751,7.269215367,0,0,0.0322652,0,0,0,0,0.278204706,0,0,0,0.598071828,1.480032181,0.155961856,0,0.019927599,0.144069304,7.551744825,0.0322652,0,0.019927599,0.742141132,7.584010025,0.762068731,0.0322652,7.867287196,0.004324751,0.0322652,0.997166196,0.014915751,0.024573575,0,0.5,0.17406742,1.635994036,0.155961856,0.093920001,0.041384803,0,0,0
Wt-5,0.37819198,0.049085239,0,0.038386128,0,1.542594684,0,0,0,0,0,0,0.362240807,0.463070164,0.650570634,0.147830194,0.001909847,0,0.21368618,0.427277219,1.943221619,0,0,0.676756345,2.370498838,0.676756345,0.038386128,2.054750088,0.37819198,0.038386128,0.176221766,0,0,7.349239001,0,0.353745761,0.800310675,0.147830194,0.190174846,0.081109809,0,0,0
Yo-0,0.100730442,0,0,0,0.012391613,0,12.344742,0.111947037,0.013355125,0.051727944,0.022895202,0,0.011556543,0.832659811,0.994771638,0.1662616,0.004872877,0,0.467280852,12.49720039,0.03730328,0.111947037,0.022895202,1.299940663,12.53450367,1.322835865,12.37048874,0.96750205,0.100730442,0.012391613,0.997018996,0.012910164,0.004116614,0,0,0.365549999,1.167654193,0.168009678,0.149406975,0.058216604,0,0,0.003496156
Zdr-1,7.607222397,0.028398177,0,0,0,0,0.016840299,0,0,0.017517526,0.052469848,0,0,1.160668084,1.155064138,0.120488695,0.028732871,0,0.435376207,7.669978399,0,0.016927569,0.052469848,1.596044291,7.669978399,1.648514139,0.016840299,1.24153611,7.607222397,0,1,0.024070355,0.002025301,0,0,0.271365075,1.311214501,0.127417492,0.096821047,0.145129274,0,0.033855137,0.013857595
Zdr-6,9.99980003,0,0,0,0,0,0.016330986,0,0,0,0,0,0,0.727378808,0.533675141,0.25865275,0.027175874,0.0066923,0.420440935,10.01613102,0,0.023319533,0.0066923,1.147819743,10.01613102,1.154512043,0.016330986,0.727378808,9.99980003,0,1,0.006100319,0,0,0.5,0.367417307,0.819503765,0.25865275,0.318036841,0.287287327,0,0.046639066,0
